日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,中证500主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2016-06-01,2124.5840299755,87.7515195951,313.6811449300,1408.3380910793,,2399.4003131312,,35161.6569053907,10575.3628535767,4497.7510754951,
2016-06-02,2127.0262365365,87.6363775558,314.0439918298,1446.7296401460,,2414.8546017340,,35251.5844166577,10763.4276189629,4511.6452756400,
2016-06-03,2155.5186464155,87.6718058756,312.8345021636,1484.1492512617,,2441.6149225252,,35691.2300272963,10550.7291728080,4636.6930769446,
2016-06-06,2141.9508321874,87.7205198153,319.7890677443,1505.5318861849,,2429.5768450872,,36230.7950948982,10439.9487321023,4654.5570485596,
2016-06-07,2143.7146480371,87.6452346357,320.3333380941,1521.0828934018,,2446.9019159946,,35811.1333756523,10329.1682913966,4636.6930769446,
2016-06-08,2135.5739595002,87.6319490158,322.3894705266,1541.9795593494,,2438.4427264436,,35201.6246881760,10519.7106494104,4656.5419342946,
2016-06-13,2054.7097867009,87.8533760145,331.5815919898,1625.0802541647,,2331.1574281955,,35221.6085795687,10501.9857788975,4628.7535340047,
2016-06-14,2069.3630260672,88.0482317734,330.6140002568,1571.6236668566,,2327.6598786696,,35081.7213398201,10506.4169965257,4684.3303345845,
2016-06-15,2103.0112053528,88.1146598730,332.8515561393,1594.4642087064,,2407.6154875990,,35291.5521994430,10519.7106494104,4632.7233054746,
2016-06-16,2094.8705168160,88.3892293514,338.5966320538,1555.1007216887,,2404.6873066005,,35381.4797107100,10559.5916080644,4636.6930769446,
2016-06-17,2100.1270593172,88.3316583318,330.4325768069,1569.6797909545,,2424.8592201453,,35531.3588961550,10621.6286548596,4672.4210201745,
2016-06-20,2108.9801835299,88.3183727119,331.0977961233,1582.3149843182,,2440.5503203204,,35431.4394391917,10723.5466603088,4753.8013353092,
2016-06-21,2101.0953697780,88.4246576712,330.4325768069,1578.9132014896,,2411.0877758427,,35541.3508418513,10816.6022305016,4652.5721628246,
2016-06-22,2127.5164123501,88.4645145310,326.0784140086,1585.7167671469,,2471.3482775790,,36230.7950948982,10940.6763240919,4704.1791919344,
2016-06-23,2117.5566476109,88.4512289111,326.2598374585,1559.9604114440,,2457.1595167823,,36240.7870405945,10931.8138888355,4722.0431635493,
2016-06-24,2084.0807716818,88.7169413096,341.3784582860,1543.9234352516,,2415.0105508865,,35941.0286697046,10785.5837071040,4652.5721628246,
2016-06-27,2128.8997130083,88.9693680881,344.2812334849,1604.1835882170,,2489.3763501206,,36690.4245969294,10967.2636298613,4751.8164495743,
