资产,来源,日期,合约内部编码,合约代码,收盘价,主力标志
10年国债主连,financial,2015-08-12,2005983,T1512,95.6150000000,
10年国债主连,financial,2015-08-12,2005984,T1603,96.1250000000,
10年国债主连,financial,2015-08-13,2005982,T1509,95.3250000000,
10年国债主连,financial,2015-08-13,2005983,T1512,95.5200000000,1.0000000000
10年国债主连,financial,2015-08-13,2005984,T1603,95.9800000000,
10年国债主连,financial,2015-08-14,2005982,T1509,95.4750000000,
10年国债主连,financial,2015-08-14,2005983,T1512,95.6400000000,1.0000000000
10年国债主连,financial,2015-08-14,2005984,T1603,96.1150000000,
10年国债主连,financial,2015-08-17,2005982,T1509,95.1200000000,
10年国债主连,financial,2015-08-17,2005983,T1512,95.3200000000,1.0000000000
10年国债主连,financial,2015-08-17,2005984,T1603,95.7750000000,
10年国债主连,financial,2015-08-18,2005982,T1509,95.5050000000,
10年国债主连,financial,2015-08-18,2005983,T1512,95.4850000000,1.0000000000
10年国债主连,financial,2015-08-18,2005984,T1603,95.9000000000,
10年国债主连,financial,2015-08-19,2005982,T1509,95.4650000000,
10年国债主连,financial,2015-08-19,2005983,T1512,95.3700000000,1.0000000000
10年国债主连,financial,2015-08-19,2005984,T1603,95.6500000000,
10年国债主连,financial,2015-08-20,2005982,T1509,95.4500000000,
10年国债主连,financial,2015-08-20,2005983,T1512,95.4500000000,1.0000000000
10年国债主连,financial,2015-08-20,2005984,T1603,95.7000000000,
10年国债主连,financial,2015-08-21,2005982,T1509,95.4900000000,
10年国债主连,financial,2015-08-21,2005983,T1512,95.5200000000,1.0000000000
10年国债主连,financial,2015-08-21,2005984,T1603,95.7500000000,
10年国债主连,financial,2015-08-24,2005982,T1509,95.7900000000,
10年国债主连,financial,2015-08-24,2005983,T1512,95.7850000000,1.0000000000
10年国债主连,financial,2015-08-24,2005984,T1603,95.9450000000,
10年国债主连,financial,2015-08-25,2005982,T1509,96.0400000000,
10年国债主连,financial,2015-08-25,2005983,T1512,95.8000000000,1.0000000000
10年国债主连,financial,2015-08-25,2005984,T1603,95.9200000000,
10年国债主连,financial,2015-08-26,2005982,T1509,96.3750000000,
10年国债主连,financial,2015-08-26,2005983,T1512,96.0050000000,1.0000000000
10年国债主连,financial,2015-08-26,2005984,T1603,96.0850000000,
10年国债主连,financial,2015-08-27,2005982,T1509,96.8000000000,
10年国债主连,financial,2015-08-27,2005983,T1512,96.4000000000,1.0000000000
10年国债主连,financial,2015-08-27,2005984,T1603,96.3300000000,
10年国债主连,financial,2015-08-28,2005982,T1509,96.9550000000,
10年国债主连,financial,2015-08-28,2005983,T1512,96.2550000000,1.0000000000
10年国债主连,financial,2015-08-28,2005984,T1603,96.2950000000,
10年国债主连,financial,2015-08-31,2005982,T1509,97.0000000000,
10年国债主连,financial,2015-08-31,2005983,T1512,96.7600000000,1.0000000000
10年国债主连,financial,2015-08-31,2005984,T1603,96.6600000000,
10年国债主连,financial,2015-09-01,2005982,T1509,97.0000000000,
10年国债主连,financial,2015-09-01,2005983,T1512,96.9150000000,1.0000000000
10年国债主连,financial,2015-09-01,2005984,T1603,96.8400000000,
10年国债主连,financial,2015-09-02,2005982,T1509,97.5000000000,
10年国债主连,financial,2015-09-02,2005983,T1512,96.6200000000,1.0000000000
10年国债主连,financial,2015-09-02,2005984,T1603,96.6350000000,
10年国债主连,financial,2015-09-07,2005982,T1509,97.5000000000,
10年国债主连,financial,2015-09-07,2005983,T1512,96.4200000000,1.0000000000
10年国债主连,financial,2015-09-07,2005984,T1603,96.5300000000,
10年国债主连,financial,2015-09-08,2005982,T1509,97.5000000000,
10年国债主连,financial,2015-09-08,2005983,T1512,96.3750000000,1.0000000000
10年国债主连,financial,2015-09-08,2005984,T1603,96.4100000000,
10年国债主连,financial,2015-09-09,2005982,T1509,97.2000000000,
10年国债主连,financial,2015-09-09,2005983,T1512,96.1950000000,1.0000000000
10年国债主连,financial,2015-09-09,2005984,T1603,96.3050000000,
10年国债主连,financial,2015-09-10,2005982,T1509,97.2000000000,
10年国债主连,financial,2015-09-10,2005983,T1512,96.3950000000,1.0000000000
10年国债主连,financial,2015-09-10,2005984,T1603,96.5000000000,
10年国债主连,financial,2015-09-11,2005982,T1509,97.2000000000,
10年国债主连,financial,2015-09-11,2005983,T1512,96.2550000000,1.0000000000
10年国债主连,financial,2015-09-11,2005984,T1603,96.3800000000,
10年国债主连,financial,2015-09-14,2005983,T1512,96.4100000000,1.0000000000
10年国债主连,financial,2015-09-14,2005984,T1603,96.4950000000,
10年国债主连,financial,2015-09-14,2006236,T1606,96.4100000000,
10年国债主连,financial,2015-09-15,2005983,T1512,96.6550000000,1.0000000000
10年国债主连,financial,2015-09-15,2005984,T1603,96.7300000000,
10年国债主连,financial,2015-09-15,2006236,T1606,96.7000000000,
10年国债主连,financial,2015-09-16,2005983,T1512,96.5350000000,1.0000000000
10年国债主连,financial,2015-09-16,2005984,T1603,96.6200000000,
10年国债主连,financial,2015-09-16,2006236,T1606,96.7000000000,
10年国债主连,financial,2015-09-17,2005983,T1512,96.3650000000,1.0000000000
10年国债主连,financial,2015-09-17,2005984,T1603,96.5000000000,
10年国债主连,financial,2015-09-17,2006236,T1606,96.6000000000,
10年国债主连,financial,2015-09-18,2005983,T1512,96.3950000000,1.0000000000
10年国债主连,financial,2015-09-18,2005984,T1603,96.5000000000,
10年国债主连,financial,2015-09-18,2006236,T1606,96.6100000000,
10年国债主连,financial,2015-09-21,2005983,T1512,96.4150000000,1.0000000000
10年国债主连,financial,2015-09-21,2005984,T1603,96.4800000000,
10年国债主连,financial,2015-09-21,2006236,T1606,96.6800000000,
10年国债主连,financial,2015-09-22,2005983,T1512,96.2600000000,1.0000000000
10年国债主连,financial,2015-09-22,2005984,T1603,96.3050000000,
10年国债主连,financial,2015-09-22,2006236,T1606,96.4100000000,
10年国债主连,financial,2015-09-23,2005983,T1512,96.3050000000,1.0000000000
10年国债主连,financial,2015-09-23,2005984,T1603,96.3600000000,
10年国债主连,financial,2015-09-23,2006236,T1606,96.5100000000,
10年国债主连,financial,2015-09-24,2005983,T1512,96.5150000000,1.0000000000
10年国债主连,financial,2015-09-24,2005984,T1603,96.5250000000,
10年国债主连,financial,2015-09-24,2006236,T1606,96.4000000000,
10年国债主连,financial,2015-09-25,2005983,T1512,96.6650000000,1.0000000000
10年国债主连,financial,2015-09-25,2005984,T1603,96.6700000000,
10年国债主连,financial,2015-09-25,2006236,T1606,96.7350000000,
10年国债主连,financial,2015-09-28,2005983,T1512,96.9350000000,1.0000000000
10年国债主连,financial,2015-09-28,2005984,T1603,96.9800000000,
