日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2025-02-24,3698.4073700205,107.9035354484,699.3917041286,2868.7065388637,5457.6610119190,116.6017688025,77483.3164054093,20679.5129269018,5212.4519464419,521.1934428083
2025-02-25,3662.4226643130,108.0985960714,698.9838836650,2875.6190847405,5448.0599998665,117.3497914404,77112.5348861387,20519.5940255821,5202.1465847447,526.7309441241
2025-02-26,3689.0849074020,108.2136318235,692.7034485248,2849.9439143410,5504.1230523874,117.4196068867,77292.9150847028,20604.5509419082,5132.0701252038,514.7011998864
2025-02-27,3704.3737460964,108.0985960714,690.2361347198,2902.2817616938,5499.1510997173,117.0705296556,77232.7883518481,20609.5484075744,5146.4976315798,512.8871908347
2025-02-28,3635.5739719717,108.2886551401,685.1091080750,2895.3692158170,5340.9058474947,117.6988686715,77002.3025425718,20629.5382702394,5146.4976315798,515.5604673319
2025-03-03,3623.2683213152,108.4887173176,685.6177416707,2969.4322073539,5328.0473492101,118.3671022281,77212.7461075632,20659.5230642368,5167.1083549742,514.2238290833
2025-03-04,3619.1664377631,108.4337002188,690.0937173130,2936.8444910777,5382.7388285807,118.3072604170,77102.5137639963,20619.5433389069,5035.1997252501,497.7067992965
2025-03-05,3630.7262914101,108.5437344164,695.7090322096,2845.0063815719,5411.7133113820,118.5566012963,77673.7177261158,20609.5484075744,5022.8332912135,495.0335227993
2025-03-06,3686.2881686165,108.2786520312,694.1831314225,2856.8564602178,5551.2708794309,117.8285259287,78425.3018867994,20854.4242252202,4989.8561337825,486.5363225044
2025-03-07,3676.5928074932,107.6684623898,693.0031014804,2848.9564077872,5531.5545153945,116.2526915715,78485.4286196541,20824.4394312227,5012.5279295163,489.3050731623
2025-03-10,3652.3544046850,107.7234794886,694.8341824250,2900.3067485861,5509.7807916326,116.3025597473,78435.3230089419,20884.4090192176,4973.3675550669,497.2294284935
2025-03-11,3663.7278090796,107.2683380347,690.8058043470,2819.3312111724,5563.4435911404,115.0758026211,78194.8160775231,20834.4343625552,4938.3293252965,493.1240395869
2025-03-12,3657.3885344990,107.7084748253,692.8810294175,2802.5435997574,5583.8457417519,115.8736934349,79577.7309331810,20974.2627810959,4864.1307210767,491.7874013383
2025-03-13,3640.2352032810,107.6534577264,698.0284014060,2841.0563553566,5508.5806651260,115.5944316501,79497.5619560414,20944.2995485514,4913.5964572232,499.3298600270
2025-03-14,3740.9177995610,107.6134452909,708.7300522597,2864.7565126484,5625.8501694816,115.0458817156,80548.1905281477,20964.2750369144,4979.5507720853,498.8494580066
2025-03-17,3725.2560623619,107.1082882927,709.6862834197,2858.8314733255,5609.2198450336,113.3204428307,80568.2025009497,20899.3546997348,4983.6729167641,502.8848349782
2025-03-18,3734.2056264757,107.2733395891,714.5081299070,2870.6815519714,5638.0228811911,113.4002319121,80308.0468545234,20689.6120719238,5008.4057848374,505.5750862925
2025-03-19,3741.2906980657,107.2533333714,721.4255468086,2872.6565650790,5614.8775842788,113.7792300487,80938.4239977871,20679.6243277424,4975.4286274064,495.9670458841
2025-03-20,3708.1027311438,107.5634297466,722.7683395013,2819.3312111724,5601.3332994190,115.0159608101,81718.8909370661,20869.3914671904,5004.2836401585,506.4398099293
2025-03-21,3651.9815061803,107.4483939945,719.1672136437,2825.2562504954,5498.4653131421,114.7865672011,80658.2563785588,20674.6304556516,5026.9554358924,513.5497598315
2025-03-24,3668.8109140429,107.6284499543,719.3503217381,2822.2937308339,5465.2214501808,115.2852489597,81888.9927058833,20724.5691765590,5033.1386529107,513.4536794275
2025-03-25,3673.6727429810,107.7084748253,718.9637602054,2832.1687963722,5439.8099109539,115.5844580149,81959.0346106904,20679.6243277424,5024.8943635529,517.2008151868
2025-03-26,3661.5181706358,108.0285743093,721.2627840580,2784.7684817885,5449.3827510736,116.4621379101,82049.0884882995,20694.6059440146,5076.4211720389,520.5636293297
2025-03-27,3673.8597364016,107.9235416661,722.5648860630,2790.6935211115,5466.4398116506,116.0133243273,81608.8250866549,20789.4895137386,5084.6654613967,519.5067448848
