,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2017-11-07,1.4516485613128263,1.4858393383186026,1.9415586506584246
2017-11-08,1.450383117687327,1.484042075944747,1.9399046852673099
2017-11-09,1.4513132693541577,1.4840226856757952,1.940806852100363
2017-11-10,1.4544699641858563,1.4863244970240634,1.9449397937745012
2017-11-13,1.4559832174550333,1.4862648003138406,1.9458672783401774
2017-11-14,1.4551347803725465,1.4866566995543065,1.9450287490226295
2017-11-15,1.4530562855946723,1.4855476300105357,1.9426701980479155
2017-11-16,1.4545900727076733,1.4859723045262765,1.9440242046591218
2017-11-17,1.45346914805505,1.4859615797344239,1.9419116417955076
2017-11-20,1.4593210193696837,1.4909559191276918,1.950013386841583
2017-11-21,1.464640644585422,1.492115383725751,1.9542959984703392
2017-11-22,1.4630596437551386,1.4898605596341779,1.952096128240032
2017-11-23,1.4520659906648576,1.4843480585677686,1.9390513817850579
2017-11-24,1.4536303988767183,1.48780613102749,1.9425436527458608
2017-11-27,1.4467009446240482,1.484210565581239,1.9353816418306589
2017-11-28,1.444711862291591,1.4821812073194367,1.9336422586938542
2017-11-29,1.4446646357416217,1.4837586660939277,1.9348769148824796
2017-11-30,1.4393504564761321,1.479097173292061,1.9274641571598818
2017-12-01,1.4400702630254707,1.4788674617457966,1.9219934055266648
2017-12-04,1.4429144906815283,1.4808589520480306,1.922057716944778
2017-12-05,1.4414037141741471,1.4788035839478366,1.9229279035627902
2017-12-06,1.436306037535057,1.4719474018032925,1.9190564476375611
2017-12-07,1.4307738603616709,1.4649574322872672,1.9123727526763674
2017-12-08,1.4314898400285552,1.463468653697825,1.9068633016529224
2017-12-11,1.434083579090404,1.464707157429072,1.9065598239721004
2017-12-12,1.4296886542992544,1.4611678218149158,1.9026098263988565
2017-12-13,1.4294927482908109,1.4607141725908925,1.903172948297642
2017-12-14,1.4314397794937077,1.4650106903872466,1.911177760488536
2017-12-15,1.4304767484150207,1.465780338350959,1.9126744606805692
2017-12-18,1.4321354846494119,1.4680581263769448,1.913371097182173
2017-12-19,1.4359824728671382,1.4718436173277545,1.9180576657272737
2017-12-20,1.436094917529095,1.47160213866145,1.9144363578565544
2017-12-21,1.4385116225976087,1.473722560162578,1.9161028754273843
2017-12-22,1.4404676223866597,1.476793515451613,1.9217307695150838
2017-12-25,1.4413774622159805,1.479425028230037,1.9242719330363998
2017-12-26,1.4475836228240124,1.4846280620604657,1.9258077216774916
2017-12-27,1.4454502929567943,1.4842870563789508,1.9234933302490358
2017-12-28,1.4496751873671687,1.4900439242881982,1.9276836299178677
2017-12-29,1.4519297751588887,1.492590868173816,1.928935216551371
2018-01-02,1.456059758667431,1.4972599084042184,1.9350582990732323
2018-01-03,1.4581103388713337,1.4997101273856905,1.9364208535021452
2018-01-04,1.4590244358518416,1.4996529753115988,1.9341271665044597
2018-01-05,1.461880623389867,1.5027904088246897,1.9387289780316006
2018-01-08,1.4650933210450532,1.506005985437304,1.9446059355773477
2018-01-09,1.4688352405466791,1.5098532777731895,1.9465816558571243
2018-01-10,1.4674810815921948,1.5082191849604347,1.9445630562812957
2018-01-11,1.4677992372177688,1.5092081527517307,1.9434622385312366
2018-01-12,1.468345005378721,1.5100624020846982,1.9469533807904402
2018-01-15,1.468799102614735,1.5118585697465494,1.9480005345558027
2018-01-16,1.4671961237531679,1.508855632583072,1.94962685556087
2018-01-17,1.4633971094839517,1.503587291918559,1.9453415748674063
2018-01-18,1.4620901055868656,1.5007519649666998,1.9406435996827416
2018-01-19,1.462501908882122,1.5002013965684897,1.9375475224583427
2018-01-22,1.4679622779967965,1.5037258882543003,1.9391650730400702
2018-01-23,1.4713686547538427,1.50707427353503,1.9427998937024618
2018-01-24,1.4734809525481585,1.5099152767835504,1.9466549114329774
2018-01-25,1.4756584320671584,1.5140289264947275,1.9499117652912898
2018-01-26,1.476185812586943,1.513312072148838,1.9506490679777102
2018-01-29,1.4729521758123902,1.509731182510945,1.944788558000299
2018-01-30,1.4659419889288592,1.4998692945719638,1.9337831615623453
2018-01-31,1.4652896714313288,1.4987778059210703,1.9331061145987987
2018-02-01,1.46110355755829,1.4943034753489024,1.919505922588546
2018-02-02,1.4595602286623812,1.4953220315962201,1.912749093075384
2018-02-05,1.4569367559686601,1.4904196719032505,1.9018095733010676
2018-02-06,1.450254726457,1.4855423054662293,1.8859733322556886
2018-02-07,1.4445899373573488,1.4758786112794742,1.871774798592036
2018-02-08,1.4418852780045328,1.4708731767277357,1.8631946442060352
2018-02-09,1.4322158554382949,1.4627226843539598,1.840165467086837
2018-02-12,1.4399660290418854,1.4681062727010883,1.8510839829650085
