日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2020-12-14,1.0,1.0,1.0,1.0,0.0,0.0,0.00022856164383561642,0.0,0.0,0.009084584851000001,0.0,0.009084584851000001,1.0,0.0,0.009084584851000001,1.6621239055751056,1.28917306245545,1.2892946292325618,0.0
2020-12-15,1.0,1.0,1.0,1.0,0.0,0.0,7.26986301369863e-05,0.0,0.0,0.002392635549,0.0,0.002392635549,1.0,0.0,0.002392635549,1.6661007623184274,1.2922575837534942,1.2892946292325618,0.0
2020-12-16,1.0,1.0,1.0,1.0,0.0,0.0,5.954794520547945e-05,0.0,0.0,0.002306011813,0.0,0.002306011813,1.0,0.0,0.002306011813,1.669942810357982,1.2952375450070686,1.2892946292325618,0.0
2020-12-17,1.0,1.0,1.0,1.0,0.0,0.0,5.7356164383561645e-05,0.0,0.0,0.015095862765,0.0,0.015095862765,1.0,0.0,0.015095862765,1.6951520378485445,1.3147902732345707,1.289294629232562,0.0
2020-12-18,1.0,1.0,1.0,1.0,0.0,0.0,6.308219178082193e-05,0.0,0.0,-0.006481371029,0.0,-0.006481371029,1.0,0.0,-0.006481371029,1.6841651285406827,1.3062686296484172,1.2892946292325618,0.0
2020-12-21,1.0,1.0,1.0,1.0,0.0,0.0,0.00023867123287671233,0.0,0.0,0.009573402764,0.0,0.009573402764,1.0,0.0,0.009573402764,1.7002883196372864,1.3187740653580198,1.2892946292325618,0.0
2020-12-22,1.0,1.0,1.0,1.0,0.0,0.0,8.154794520547946e-05,0.0,0.0,-0.015037295667,0.0,-0.015037295667,1.0,0.0,-0.015037295667,1.674720581455754,1.2989432698192598,1.2892946292325618,0.0
2020-12-23,1.0,1.0,1.0,1.0,0.0,0.0,7.798630136986302e-05,0.0,0.0,0.0074118831819999995,0.0,0.0074118831819999995,1.0,0.0,0.0074118831819999995,1.6871334147679953,1.3085708855952052,1.289294629232562,0.0
2020-12-24,1.0,1.0,1.0,1.0,0.0,0.0,7.25068493150685e-05,0.0,0.0,0.000159942421,0.0,0.000159942421,1.0,0.0,0.000159942421,1.6874032589709032,1.3087801815906972,1.289294629232562,0.0
2020-12-25,1.0,1.0,1.0,1.0,0.0,0.0,6.823287671232877e-05,0.0,0.0,0.008155759004999999,0.0,0.008155759004999999,1.0,0.0,0.008155759004999999,1.7011653132953215,1.3194542773422713,1.2892946292325618,0.0
