月份,周期划分,资产,月收益(%)
2017-08,紧货币紧信用,原油主连,-0.5891296085448805
2017-08,紧货币紧信用,沪深300主连,3.2711476791239757
2017-08,紧货币紧信用,沪金主连,0.6653479589350475
2017-08,紧货币紧信用,沪铜主连,3.8298513121164612
2017-08,紧货币紧信用,沪铝主连,12.541445078477299
2017-08,紧货币紧信用,红利低波ETF,-0.4505875307730056
2017-08,紧货币紧信用,豆粕主连,-5.168776371191641
2017-09,紧货币紧信用,10年国债主连,0.35846072730985057
2017-09,紧货币紧信用,30年国债主连,-0.4881915203450937
2017-09,紧货币紧信用,PTA主连,-3.0154542029321107
2017-09,紧货币紧信用,中证1000主连,2.262484825114308
2017-09,紧货币紧信用,中证500主连,2.7112989807360766
2017-09,紧货币紧信用,原油主连,9.940737908224694
2017-09,紧货币紧信用,沪深300主连,0.8062658363738873
2017-09,紧货币紧信用,沪金主连,-0.35727045362698995
2017-09,紧货币紧信用,沪铜主连,-2.0947799147299606
2017-09,紧货币紧信用,沪铝主连,-1.3524933065082956
2017-09,紧货币紧信用,红利低波ETF,0.3825554315332491
2017-09,紧货币紧信用,豆粕主连,1.1865035223918463
2017-10,紧货币紧信用,10年国债主连,-2.636831599944933
2017-10,紧货币紧信用,30年国债主连,-1.438625593352516
2017-10,紧货币紧信用,PTA主连,0.15546055176065554
2017-10,紧货币紧信用,中证1000主连,-2.4336338410951175
2017-10,紧货币紧信用,中证500主连,-1.1012358790813859
2017-10,紧货币紧信用,原油主连,10.129310344615106
2017-10,紧货币紧信用,沪深300主连,4.090827287106191
2017-10,紧货币紧信用,沪金主连,-1.5776263895888043
2017-10,紧货币紧信用,沪铜主连,3.7393986121133205
2017-10,紧货币紧信用,沪铝主连,-1.124377294897172
2017-10,紧货币紧信用,红利低波ETF,4.104298519399685
2017-10,紧货币紧信用,豆粕主连,2.308537925918963
2017-11,紧货币紧信用,10年国债主连,0.31271336485785284
2017-11,紧货币紧信用,30年国债主连,-0.43944870569995187
2017-11,紧货币紧信用,PTA主连,3.7707006554443367
2017-11,紧货币紧信用,中证1000主连,-5.441889552640344
2017-11,紧货币紧信用,中证500主连,-4.062405435415184
2017-11,紧货币紧信用,原油主连,3.6692759295345434
2017-11,紧货币紧信用,沪深300主连,-0.24194229838632175
2017-11,紧货币紧信用,沪金主连,0.2623443729053987
2017-11,紧货币紧信用,沪铜主连,-2.000699659883154
2017-11,紧货币紧信用,沪铝主连,-10.999083409566978
2017-11,紧货币紧信用,红利低波ETF,-1.5023981157925803
2017-11,紧货币紧信用,豆粕主连,3.5720296793359863
2017-12,紧货币紧信用,10年国债主连,0.13435081661805626
2017-12,紧货币紧信用,30年国债主连,-0.4295261248424054
2017-12,紧货币紧信用,PTA主连,2.6403867607312392
2017-12,紧货币紧信用,中证1000主连,-1.4390164507506853
2017-12,紧货币紧信用,中证500主连,1.8249897579726282
2017-12,紧货币紧信用,原油主连,5.446362238969438
2017-12,紧货币紧信用,沪深300主连,1.5220683181985217
2017-12,紧货币紧信用,沪金主连,-0.6260060812209423
2017-12,紧货币紧信用,沪铜主连,4.804256858372669
2017-12,紧货币紧信用,沪铝主连,3.7850118586955306
2017-12,紧货币紧信用,红利低波ETF,0.9036166385270938
2017-12,紧货币紧信用,豆粕主连,-1.953124999945255
2018-01,紧货币紧信用,10年国债主连,-1.3148714645344395
2018-01,紧货币紧信用,30年国债主连,0.595421497852211
2018-01,紧货币紧信用,PTA主连,3.731884057937118
2018-01,紧货币紧信用,中证1000主连,-3.041500859985058
2018-01,紧货币紧信用,中证500主连,-0.7253369644114938
2018-01,紧货币紧信用,原油主连,3.66256379441412
2018-01,紧货币紧信用,沪深300主连,5.6307290556436795
2018-01,紧货币紧信用,沪金主连,-0.4319654428762032
2018-01,紧货币紧信用,沪铜主连,-4.246131701973566
2018-01,紧货币紧信用,沪铝主连,-5.7809951225125555
2018-01,紧货币紧信用,红利低波ETF,6.491590366060218
2018-01,紧货币紧信用,豆粕主连,1.9558131110940513
2018-02,紧货币紧信用,10年国债主连,0.7066582089260143
2018-02,紧货币紧信用,30年国债主连,1.9610935624104986
2018-02,紧货币紧信用,PTA主连,2.1306322040740344
2018-02,紧货币紧信用,中证1000主连,-3.2622898237033127
2018-02,紧货币紧信用,中证500主连,-2.970724346339537
2018-02,紧货币紧信用,原油主连,-5.846550152345731
2018-02,紧货币紧信用,沪深300主连,-6.58414321948646
2018-02,紧货币紧信用,沪金主连,-1.6449746926468167
2018-02,紧货币紧信用,沪铜主连,-1.4599427919990027
2018-02,紧货币紧信用,沪铝主连,-1.3891796368213916
2018-02,紧货币紧信用,红利低波ETF,-5.748858614719055
2018-02,紧货币紧信用,豆粕主连,6.856127886442986
2018-03,紧货币紧信用,10年国债主连,1.0685951751580935
2018-03,紧货币紧信用,30年国债主连,2.242912857014945
2018-03,紧货币紧信用,PTA主连,-7.181729735209963
2018-03,紧货币紧信用,中证1000主连,3.6316977263233685
2018-03,紧货币紧信用,中证500主连,3.4669502540437325
2018-03,紧货币紧信用,原油主连,8.10104485639056
2018-03,紧货币紧信用,沪深300主连,-1.6228352849843253
2018-03,紧货币紧信用,沪金主连,-0.18378974466676246
2018-03,紧货币紧信用,沪铜主连,-4.909952618756785
2018-03,紧货币紧信用,沪铝主连,-4.339684125823185
2018-03,紧货币紧信用,红利低波ETF,-3.680449939275443
2018-03,紧货币紧信用,豆粕主连,6.423915746140585
2018-04,宽货币紧信用,10年国债主连,0.9237998613747633
