日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2020-07-20,3870.7535596745,93.6349612724,438.1356388128,1631.9271937255,,,48606.1408397880,12594.8256154942,3552.7213832379,275.4521197197
2020-07-21,3881.2537953901,93.7670474690,441.1453813663,1626.8972811421,,,49174.9663616112,12594.8256154942,3576.9720411439,281.1809227552
2020-07-22,3900.9209035559,94.1302845096,451.7012900320,1636.3982271330,,,49686.9093312520,12723.0284736371,3581.0138174616,282.9653040285
2020-07-23,3907.2543790669,94.0217851338,454.2094088265,1652.6057232351,,,49269.7706152484,12727.4492618490,3599.2018108912,282.7774744208
2020-07-24,3720.9168627167,94.3331311686,458.4404961842,1676.6375278002,,,48558.7387129694,12736.2908382726,3609.3062516854,277.7999898162
2020-07-27,3747.5841280262,94.2104797003,468.9745951213,1677.7545414763,,,48918.9948767908,12767.2363557554,3583.0347056205,276.8608417776
2020-07-28,3774.0847229276,93.8755468448,468.8437367494,1634.7495149471,,,48843.1514738810,12842.3897553565,3607.2853635265,274.1373124657
2020-07-29,3893.7540760040,93.6255265441,470.4140372121,1643.1271175177,,,49184.4467869749,12999.2228472746,3607.2853635265,273.3859940348
2020-07-30,3862.5867096735,93.5547660817,467.7532503170,1633.0739944330,,,49004.3187050642,13191.9035030598,3625.4733569561,273.1981644271
2020-07-31,3883.0871698802,93.2528547752,472.0279571320,1640.3345833275,,,49127.5642347926,13160.5368846762,3637.5986859091,268.6902538419
2020-08-03,3950.5886851948,93.4698535267,470.4358469407,1647.5951722220,,,48397.5714817862,13084.3608114588,3591.1182582558,262.6797063948
2020-08-04,3963.9223178496,93.5830702666,471.0465193429,1634.7495149471,,,48862.1123246084,13169.4987756429,3613.3480280030,264.1823432566
2020-08-05,3951.7553780521,93.3943757001,484.2414051750,1612.9677482635,,,48681.9842426978,13138.1321572593,3655.7866793386,262.9614508064
2020-08-06,3941.2551423365,93.3000284169,488.0581076884,1604.5901456929,,,48729.3863695164,12999.2228472746,3671.9537846093,265.6849801183
2020-08-07,3903.4209596786,93.2103984978,490.4135583824,1604.0316388548,,,48634.5821158792,13044.0323021084,3714.3924359450,264.6519172759
2020-08-10,3916.7545923334,93.6538307291,486.7713336982,1598.4465704744,,,47620.1766019612,12864.7944827733,3710.3506596273,266.9997873724
